id, size
0,626
1,606
2,606
3,606
4,606
5,606
6,606
7,606
8,606
9,606
10,606
11,606
12,606
13,606
14,606
15,606
16,606
17,606
18,606
19,606
20,606
21,606
22,606
23,606
24,606
25,606
26,606
27,606
28,606
29,606
30,606
31,606
32,606
33,606
34,606
35,606
36,606
37,606
38,606
39,606
40,606
41,606
42,606
43,606
44,606
45,606
46,606
47,606
48,606
49,606
50,606
51,606
52,606
53,606
54,606
55,606
56,606
57,606
58,606
59,606
60,606
61,606
62,606
63,606
64,606
65,606
66,606
67,606
68,606
69,606
70,606
71,606
72,606
73,606
74,606
75,606
76,606
77,606
78,606
79,606
80,606
81,606
82,606
83,606
84,606
85,606
86,606
87,606
88,606
89,606
90,606
91,606
92,606
93,606
94,606
95,606
96,606
97,606
98,606
99,606
100,606
101,606
102,606
103,606
104,606
105,606
106,606
107,606
108,606
109,606
110,606
111,606
112,606
113,606
114,606
115,606
116,606
117,606
118,606
119,606
120,606
121,606
122,606
123,606
124,606
125,606
126,606
127,606
128,607
129,607
130,607
131,607
132,607
133,607
134,607
135,607
136,607
137,607
138,607
139,607
140,607
141,607
142,607
143,607
144,607
145,607
146,607
147,607
148,607
149,607
150,607
151,607
152,607
153,607
154,607
155,607
156,607
157,607
158,607
159,607
160,607
161,607
162,607
163,607
164,607
165,607
166,607
167,607
168,607
169,607
170,607
171,607
172,607
173,607
174,607
175,607
176,607
177,607
178,607
179,607
180,607
181,607
182,607
183,607
184,607
185,607
186,607
187,607
188,607
189,607
190,607
191,607
192,607
193,607
194,607
195,607
196,607
197,607
198,607
199,607
200,607
201,607
202,607
203,607
204,607
205,607
206,607
207,607
208,607
209,607
210,607
211,607
212,607
213,607
214,607
215,607
216,607
217,607
218,607
219,607
220,607
221,607
222,607
223,607
224,607
225,607
226,607
227,607
228,607
229,607
230,607
231,607
232,607
233,607
234,607
235,607
236,607
237,607
238,607
239,607
240,607
241,607
242,607
243,607
244,607
245,607
246,607
247,607
248,607
249,607
250,607
251,607
252,607
253,607
254,607
255,607
256,608
257,608
258,608
259,608
260,608
261,608
262,608
263,608
264,608
265,608
266,608
267,608
268,608
269,608
270,608
271,608
272,608
273,608
274,608
275,608
276,608
277,608
278,608
279,608
280,608
281,608
282,608
283,608
284,608
285,608
286,608
287,608
288,608
289,608
290,608
291,608
292,608
293,608
294,608
295,608
296,608
297,608
298,608
299,608
300,608
301,608
302,608
303,608
304,608
305,608
306,608
307,608
308,608
309,608
310,608
311,608
312,608
313,608
314,608
315,608
316,608
317,608
318,608
319,608
320,608
321,608
322,608
323,608
324,608
325,608
326,608
327,608
328,608
329,608
330,608
331,608
332,608
333,608
334,608
335,608
336,608
337,608
338,608
339,608
340,608
341,608
342,608
343,608
344,608
345,608
346,608
347,608
348,608
349,608
350,608
351,608
352,608
353,608
354,608
355,608
356,608
357,608
358,608
359,608
360,608
361,608
362,608
363,608
364,608
365,608
366,608
367,608
368,608
369,608
370,608
371,608
372,608
373,608
374,608
375,608
376,608
377,608
378,608
379,608
380,608
381,608
382,608
383,608
384,608
385,608
386,608
387,608
388,608
389,608
390,608
391,608
392,608
393,608
394,608
395,608
396,608
397,608
398,608
399,608
400,608
401,608
402,608
403,608
404,608
405,608
406,608
407,608
408,608
409,608
410,608
411,608
412,608
413,608
414,608
415,608
416,608
417,608
418,608
419,608
420,608
421,608
422,608
423,608
424,608
425,608
426,608
427,608
428,608
429,608
430,608
431,608
432,608
433,608
434,608
435,608
436,608
437,608
438,608
439,608
440,608
441,608
442,608
443,608
444,608
445,608
446,608
447,608
448,608
449,608
450,608
451,608
452,608
453,608
454,608
455,608
456,608
457,608
458,608
459,608
460,608
461,608
462,608
463,608
464,608
465,608
466,608
467,608
468,608
469,608
470,608
471,608
472,608
473,608
474,608
475,608
476,608
477,608
478,608
479,608
480,608
481,608
482,608
483,608
484,608
485,608
486,608
487,608
488,608
489,608
490,608
491,608
492,608
493,608
494,608
495,608
496,608
497,608
498,608
499,608
500,608
501,608
502,608
503,608
504,608
505,608
506,608
507,608
508,608
509,608
510,608
511,608
512,608
513,608
514,608
515,608
516,608
517,608
518,608
519,608
520,608
521,608
522,608
523,608
524,608
525,608
526,608
527,608
528,608
529,608
530,608
531,608
532,608
533,608
534,608
535,608
536,608
537,608
538,608
539,608
540,608
541,608
542,608
543,608
544,608
545,608
546,608
547,608
548,608
549,608
550,608
551,608
552,608
553,608
554,608
555,608
556,608
557,608
558,608
559,608
560,608
561,608
562,608
563,608
564,608
565,608
566,608
567,608
568,608
569,608
570,608
571,608
572,608
573,608
574,608
575,608
576,608
577,608
578,608
579,608
580,608
581,608
582,608
583,608
584,608
585,608
586,608
587,608
588,608
589,608
590,608
591,608
592,608
593,608
594,608
595,608
596,608
597,608
598,608
599,608
600,608
601,608
602,608
603,608
604,608
605,608
606,608
607,608
608,608
609,608
610,608
611,608
612,608
613,608
614,608
615,608
616,608
617,608
618,608
619,608
620,608
621,608
622,608
623,608
624,608
625,608
626,608
627,608
628,608
629,608
630,608
631,608
632,608
633,608
634,608
635,608
636,608
637,608
638,608
639,608
640,608
641,608
642,608
643,608
644,608
645,608
646,608
647,608
648,608
649,608
650,608
651,608
652,608
653,608
654,608
655,608
656,608
657,608
658,608
659,608
660,608
661,608
662,608
663,608
664,608
665,608
666,608
667,608
668,608
669,608
670,608
671,608
672,608
673,608
674,608
675,608
676,608
677,608
678,608
679,608
680,608
681,608
682,608
683,608
684,608
685,608
686,608
687,608
688,608
689,608
690,608
691,608
692,608
693,608
694,608
695,608
696,608
697,608
698,608
699,608
700,608
701,608
702,608
703,608
704,608
705,608
706,608
707,608
708,608
709,608
710,608
711,608
712,608
713,608
714,608
715,608
716,608
717,608
718,608
719,608
720,608
721,608
722,608
723,608
724,608
725,608
726,608
727,608
728,608
729,608
730,608
731,608
732,608
733,608
734,608
735,608
736,608
737,608
738,608
739,608
740,608
741,608
742,608
743,608
744,608
745,608
746,608
747,608
748,608
749,608
750,608
751,608
752,608
753,608
754,608
755,608
756,608
757,608
758,608
759,608
760,608
761,608
762,608
763,608
764,608
765,608
766,608
767,608
768,608
769,608
770,608
771,608
772,608
773,608
774,608
775,608
776,608
777,608
778,608
779,608
780,608
781,608
782,608
783,608
784,608
785,608
786,608
787,608
788,608
789,608
790,608
791,608
792,608
793,608
794,608
795,608
796,608
797,608
798,608
799,608
800,608
801,608
802,608
803,608
804,608
805,608
806,608
807,608
808,608
809,608
810,608
811,608
812,608
813,608
